biosample_accession	sample_name	assembly_method	assembly_method_version	genome_coverage	sequencing_technology	filename
SAMN19270115	Halobacteriales1 MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_57-bin_0-refined_5.fna
SAMN19270116	Halobacteriales2 MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_45-bin_0-refined_15.fna
SAMN19270117	Halobacteriales3 MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_57-bin_0-refined_8.fna
SAMN19270118	Haloarculaceae1 MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_35-bin_0-refined_4.fna
SAMN19270119	Haloarculaceae2 MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_36-bin_0-refined_3.fna
SAMN19270120	Haloarculaceae3 MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_44-bin_0-refined_5.fna
SAMN19270121	Haloarculaceae4 MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_53-bin_0-refined_1.fna
SAMN19270122	Haloarculaceae5 MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_18-bin_0-refined_0.fna
SAMN19270123	Haloferacaceae1 MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_53-bin_0-refined_2.fna
SAMN19270124	Haloferacaceae2 MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_45-bin_0-refined_6.fna
SAMN19270125	Haloferacaceae3 MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_45-bin_0-refined_10.fna
SAMN19270126	Halovenus MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_61-bin_0-refined_12.fna
SAMN19270127	Methanohalobium MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_14-bin_0-refined_8.fna
SAMN19270128	Nanosalinales MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_57-bin_0-refined_3.fna
SAMN19270129	Thermoplasmatota1 MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_14-bin_0-refined_6.fna
SAMN19270130	Thermoplasmatota2 MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_14-bin_0-refined_12.fna
SAMN19270131	Bacteroidales MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_44-bin_0-refined_1.fna
SAMN19270132	Flavobacteriales MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_57-bin_0-refined_4.fna
SAMN19270133	Salinivenus MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_85-bin_0.fna
SAMN19270134	Bipolaricaulia MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_28-bin_0-refined_2.fna
SAMN19270135	Halothece MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_24-bin_0-refined_1.fna
SAMN19270136	Halanerobiales MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_44-bin_0-refined_9.fna
SAMN19270137	Bradymonadaceae MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_13-bin_0-refined_3.fna
SAMN19270138	Paceibacteria MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_24-bin_0-refined_5.fna
SAMN19270139	Alphaproteobacteria MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_73-bin_0-refined_4.fna
SAMN19270140	Thiohalorhabdaceae1 MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_55-bin_0-refined_6.fna
SAMN19270141	Thiohalorhabdaceae2 MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_92-bin_0-refined_3.fna
SAMN19270142	Pedosphaerales MAG	MegaHit	1.1.1	1x	Illumina HiSeq	BinSanityLC-kmean-bin_92-bin_0-refined_6.fna
