biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4
SAMN10928272	0BSFd001	metagenome of Bonneville Salt Flats: sample 12-1	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	Illumina HiSeq 2500	HiSeq paired-end sequencing of environmental DNA	fastq	0BSFd001.01.forward.fastq.gz	0BSFd001.01.reverse.fastq.gz		
SAMN10928273	0BSFd002	metagenome of Bonneville Salt Flats: sample 12-2	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	Illumina HiSeq 2500	HiSeq paired-end sequencing of environmental DNA	fastq	0BSFd002.01.forward.fastq.gz	0BSFd002.01.reverse.fastq.gz		
SAMN10928276	0BSFd005	metagenome of Bonneville Salt Flats: sample 67B-1	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	Illumina HiSeq 2500	HiSeq paired-end sequencing of environmental DNA	fastq	0BSFd005.01.forward.fastq.gz	0BSFd005.01.reverse.fastq.gz		
SAMN10928277	0BSFd006	metagenome of Bonneville Salt Flats: sample 67B-2	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	Illumina HiSeq 2500	HiSeq paired-end sequencing of environmental DNA	fastq	0BSFd006.01.forward.fastq.gz	0BSFd006.01.reverse.fastq.gz		
SAMN10928278	0BSFd008	metagenome of Bonneville Salt Flats: sample 29-1	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	Illumina HiSeq 2500	HiSeq paired-end sequencing of environmental DNA	fastq	0BSFd008.01.forward.fastq.gz	0BSFd008.01.reverse.fastq.gz		
SAMN10928279	0BSFd009	metagenome of Bonneville Salt Flats: sample 29-2	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	Illumina HiSeq 2500	HiSeq paired-end sequencing of environmental DNA	fastq	0BSFd009.01.forward.fastq.gz	0BSFd009.01.reverse.fastq.gz		
SAMN10928281	0BSFd011	metagenome of Bonneville Salt Flats: sample 33-1	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	Illumina HiSeq 2500	HiSeq paired-end sequencing of environmental DNA	fastq	0BSFd011.01.forward.fastq.gz	0BSFd011.01.reverse.fastq.gz		
SAMN10928282	0BSFd012	metagenome of Bonneville Salt Flats: sample 33-2	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	Illumina HiSeq 2500	HiSeq paired-end sequencing of environmental DNA	fastq	0BSFd012.01.forward.fastq.gz	0BSFd012.01.reverse.fastq.gz		
SAMN10928284	0BSFd014	metagenome of Bonneville Salt Flats: sample 35-1	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	Illumina HiSeq 2500	HiSeq paired-end sequencing of environmental DNA	fastq	0BSFd014.01.forward.fastq.gz	0BSFd014.01.reverse.fastq.gz		
SAMN10928285	0BSFd015	metagenome of Bonneville Salt Flats: sample 35-2	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	Illumina HiSeq 2500	HiSeq paired-end sequencing of environmental DNA	fastq	0BSFd015.01.forward.fastq.gz	0BSFd015.01.reverse.fastq.gz		
SAMN10928286	0BSFd016	metagenome of Bonneville Salt Flats: sample 35-3	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	Illumina HiSeq 2500	HiSeq paired-end sequencing of environmental DNA	fastq	0BSFd016.01.forward.fastq.gz	0BSFd016.01.reverse.fastq.gz		
SAMN10928287	0BSFd017	metagenome of Bonneville Salt Flats: sample 56-1	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	Illumina HiSeq 2500	HiSeq paired-end sequencing of environmental DNA	fastq	0BSFd017.01.forward.fastq.gz	0BSFd017.01.reverse.fastq.gz		
SAMN10928288	0BSFd018	metagenome of Bonneville Salt Flats: sample 56-2	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	Illumina HiSeq 2500	HiSeq paired-end sequencing of environmental DNA	fastq	0BSFd018.01.forward.fastq.gz	0BSFd018.01.reverse.fastq.gz		
SAMN10928289	0BSFd019	metagenome of Bonneville Salt Flats: sample 56-3	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	Illumina HiSeq 2500	HiSeq paired-end sequencing of environmental DNA	fastq	0BSFd019.01.forward.fastq.gz	0BSFd019.01.reverse.fastq.gz		
SAMN10928293	0BSFd023	metagenome of Bonneville Salt Flats: sample 46-1	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	Illumina HiSeq 2500	HiSeq paired-end sequencing of environmental DNA	fastq	0BSFd023.01.forward.fastq.gz	0BSFd023.01.reverse.fastq.gz		
SAMN10928294	0BSFd024	metagenome of Bonneville Salt Flats: sample 46-2	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	Illumina HiSeq 2500	HiSeq paired-end sequencing of environmental DNA	fastq	0BSFd024.01.forward.fastq.gz	0BSFd024.01.reverse.fastq.gz		
